Country Name,Indicator Name,Year,Value
Kenya,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1996,9.91899967193604
Nigeria,GDP growth (annual %),1996,4.19592404515741
Nigeria,GDP per capita (current US$),1996,461.252376189015
Nigeria,"Inflation, consumer prices (annual %)",1996,29.2682926829272
Nigeria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1996,3.95099997520447
South Africa,GDP growth (annual %),1996,4.29999896093463
South Africa,GDP per capita (current US$),1996,3440.86422316801
South Africa,"Inflation, consumer prices (annual %)",1996,7.35412885652532
South Africa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1996,29.7980003356934
Ghana,GDP growth (annual %),1997,4.19635757609615
Ghana,GDP per capita (current US$),1997,391.355679971482
Ghana,"Inflation, consumer prices (annual %)",1997,27.8852086407528
Ghana,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1997,7.60099983215332
Kenya,GDP growth (annual %),1997,0.474901920484101
Kenya,GDP per capita (current US$),1997,452.984806841831
Kenya,"Inflation, consumer prices (annual %)",1997,11.3618450505784
Kenya,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1997,9.88700008392334
Nigeria,GDP growth (annual %),1997,2.93709941976483
Nigeria,GDP per capita (current US$),1997,479.708752482082
Nigeria,"Inflation, consumer prices (annual %)",1997,8.52987421383634
Nigeria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1997,3.97399997711182
South Africa,GDP growth (annual %),1997,2.60000211628014
South Africa,GDP per capita (current US$),1997,3495.11122228324
South Africa,"Inflation, consumer prices (annual %)",1997,8.59777074320274
South Africa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1997,29.8509998321533
Ghana,GDP growth (annual %),1998,4.70039077886537
Ghana,GDP per capita (current US$),1998,414.768460995329
Ghana,"Inflation, consumer prices (annual %)",1998,14.6241666666674
Ghana,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1998,8.19999980926514
Kenya,GDP growth (annual %),1998,3.29021372309346
Kenya,GDP per capita (current US$),1998,473.432721195145
Kenya,"Inflation, consumer prices (annual %)",1998,6.72243650753923
